sample	experiment	condition	organoid_line
4672STDY7717796	2	control	WT1
4672STDY7717804	2	control	WT1
4672STDY7717812	2	ES	WT1
4672STDY7717820	2	ES	WT1
4672STDY7717828	2	control	WT4
4672STDY7717836	2	control	WT4
4672STDY7717844	2	control	WT4
4672STDY7717852	2	ES	WT4
4672STDY7717860	2	ES	WT4
4672STDY7717868	2	ES	WT4
4672STDY7717799	3	control	WT1
4672STDY7717823	3	control	WT3
4672STDY7717847	3	control	WT4
4672STDY7717807	3	control	WT1
4672STDY7717831	3	control	WT3
4672STDY7717855	3	control	WT4
4672STDY7717815	3	control	WT3
4672STDY7717839	3	control	WT4
4672STDY7717791	3	control	WT1
4672STDY7717863	3	ES	WT1
4672STDY7717816	3	ES	WT4
4672STDY7717792	3	ES	WT3
4672STDY7717871	3	ES	WT1
4672STDY7717800	3	ES	WT3
4672STDY7717824	3	ES	WT4
4672STDY7717879	3	ES	WT1
4672STDY7717808	3	ES	WT3
4672STDY7717832	3	ES	WT4
4672STDY7717798	1	control	WT3
4672STDY7717830	1	larvae	WT3
4672STDY7717806	1	control	WT4
4672STDY7717838	1	larvae	WT4
4672STDY7717814	1	control	WT3
4672STDY7717846	1	larvae	WT3
4672STDY7717822	1	control	WT4
4672STDY7717854	1	larvae	WT4
4672STDY7717797	2	control	WT1
4672STDY7717805	2	control	WT1
4672STDY7717813	2	larvae	WT1
4672STDY7717821	2	larvae	WT1
4672STDY7717829	2	control	WT4
4672STDY7717837	2	control	WT4
4672STDY7717845	2	control	WT4
4672STDY7717853	2	larvae	WT4
4672STDY7717861	2	larvae	WT4
4672STDY7717869	2	larvae	WT4
4672STDY7717848	3	control	WT1
4672STDY7717872	3	control	WT3
4672STDY7717801	3	control	WT4
4672STDY7717856	3	control	WT1
4672STDY7717880	3	control	WT3
4672STDY7717809	3	control	WT4
4672STDY7717840	3	control	WT1
4672STDY7717864	3	control	WT3
4672STDY7717793	3	control	WT4
4672STDY7717817	3	larvae	WT1
4672STDY7717841	3	larvae	WT3
4672STDY7717865	3	larvae	WT4
4672STDY7717825	3	larvae	WT1
4672STDY7717849	3	larvae	WT3
4672STDY7717873	3	larvae	WT4
4672STDY7717833	3	larvae	WT1
4672STDY7717857	3	larvae	WT3
4672STDY7717881	3	larvae	WT4
